sample-id,Samples collected,Date collected,Animal Weight (Kg),Sex,TWC - Estimated age,BCS,State of hydration,Chlamydia disease status,Abdo Gut Fill,Previously microchipped,Capture location (W3W),Location_group,Amoxicillin resistant pathogens cultured,Integron_group,Additional notes
BNP-001-POW15295A1,Faecal sample,Oct-22,8.27,Female,TWC IV -3.5-5.5 years,Good,Good,0,NAD,yes,Quarrel.Note.stick,3,NA,Negative,
BNP-002-POW15295A2,Faecal sample,Oct-22,10.76,Female,TWC II -1.6 - 2.5 years,Poor,Good,0,Abnormal,yes,Grapes.scenes.lists,3,NA,Negative,"Abdomen very tense. On palpation, hard and feels like a mass in the abdomen"
BNP-004-POW15295A3,Faecal sample,Oct-22,10.17,Male,TWC VI - 6.5- 10 years,Good,Good,0,NAD,no,Image.fans.tiny,1,NA,Negative,Right eye scar tags
BNP-007-POW15295A4,Faecal sample,Oct-22,12.22,Male,TWC IV -3.5-5.5 years,Fair,Good,0,NAD,no,Tilt.Stir.Engage,1,NA,Positive ,
BNP-009-POW15295A5,Faecal sample,Oct-22,8.02,Male,TWC II -1.6 - 2.5 years,Fair,Good,0,NAD,no,Sounds.since.risen,1,NA,Positive ,
BNP-010-POW15295A6,Faecal sample,Oct-22,7.8,Female,TWC III - 2.5 - 4 years,Fair,Good,2,NAD,no,Vets.discrepancy.wipe,1,NA,Positive ,Orange ear tag 041. Left eye chlamyida
BNP-011-POW15295A7,Faecal sample,Oct-22,4.02,Female,TWC I -Sub Adult,Fair,Good,0,NAD,no,Risen.deals.Offer,1,NA,Positive ,Fell 15m from tree when being captured
BNP-013-POW15295A8,Faecal sample,Oct-22,6.81,Female with Back Young,TWC II -1.6 - 2.5 years,Fair,Good,0,NAD,no,Love.unique.lunch,1,NA,Negative,Had Joey 012
BNP-014-POW15295A9,Faecal sample,Oct-22,7.49,Female,TWC II -1.6 - 2.5 years,Fair,Good,1,NAD,no,Forks.Below.Update,1,NA,Negative,
BNP-016-POW15295A10,Faecal sample,Oct-22,8.35,Female with Back Young,TWC III - 2.5 - 4 years,Good,Good,0,NAD,no,Middle.Navy.Plant,1,NA,Positive ,
BNP-017-POW15295A11,Faecal sample,Oct-22,0.91,Male,Dependent,Fair,Good,0,NAD,no,Middle.Navy.Plant,1,NA,Positive ,Joey of 16
BNP-019-POW15295A12,Faecal sample,Oct-22,8.48,Female,TWC II -1.6 - 2.5 years,Good,Good,0,NAD,yes,Backs.calms.Tonic,3,NA,Positive ,
BNP-021-POW15295A13,Faecal sample,Oct-22,6.8,Female,TWC IV -3.5-5.5 years,Poor,Good,3,NAD,no,Rats.axed.straw,1,Klebsiella oxytoca,Negative,
BNP-022-POW15295A14,Faecal sample,Oct-22,8.82,Male,TWC II -1.6 - 2.5 years,Good,Good,0,NAD,no,Guilty.Host.Value,1,NA,Negative,
BNP-023-POW15295A15,Faecal sample,Oct-22,7.24,Female,TWC V - 5-6.5 years,Fair,Good,1,other,no,Factor.Ruby.Into,1,NA,Negative,Desex tag 025
BNP-025-POW15295A16,Faecal sample,Oct-22,9.82,Female,TWC IV -3.5-5.5 years,Good,Good,0,NAD,no,NOT RECORDED,NA,NA,Positive ,"Obvious signs of previous young, no current present."
BNP-026-POW15295A17,Faecal sample,Oct-22,11.37,Male,TWC V - 5-6.5 years,Good,Good,0,NAD,no,Even.Gears.vote,3,NA,Negative,
BNP-027-POW15295A18,Faecal sample,Oct-22,6.35,Male,TWC II -1.6 - 2.5 years,Fair,Good,0,NAD,no,Apple.scans.Limp,3,Klebsiella oxytoca,Negative,
BNP-028-POW15295A19,Faecal sample,Oct-22,8.43,Female,TWC IV -3.5-5.5 years,Fair,Good,0,NAD,yes,Cloth.loft.basis,3,NA,Negative,"Blue eartag k36
 Little urine stain"
BNP-034-POW15295A20,Faecal sample,Oct-22,10.61,Male,TWC III - 2.5 - 4 years,Fair,Good,0,NAD,no,Hammer.Comical.dots,2,NA,Negative,
BNP-035-POW15295A21,Faecal sample,Oct-22,6.45,Female,TWC III - 2.5 - 4 years,Good,Good,0,NAD,no,Head.Bank.Edit,2,NA,Positive ,Active pouch currently empty
BNP-036-POW15295A22,Faecal sample,Oct-22,8,Female,TWC VI - 6.5- 10 years,Good,Good,1,other - Tight no fluid thrill,no,Follow.Asking.Caged,2,NA,Positive ,
BNP-040-POW15295A23,Faecal sample,Oct-22,7.3,Female,TWC IV -3.5-5.5 years,Fair,Good,1,NAD,no,Moves.formed.river,1,Klebsiella oxytoca,Negative,
BNP-041-POW15295A24,Faecal sample,Oct-22,8.56,Female,TWC IV -3.5-5.5 years,Good,Good,1,NAD,no,Luxury.Visits.Rarely,2,NA,Negative,
BNP-042-POW15295A25,Faecal sample,Oct-22,8.8,Female with Back Young,TWC III - 2.5 - 4 years,Fair,Good,1,NAD,no,Dozen.chew.sits,2,NA,Negative,"Left mammary gland active
 Gut fill medium"
BNP-043-POW15295A26,Faecal sample,Oct-22,1.45,Male,Dependent,Poor,Good,0,NAD,no,Dozen.chew.sits,2,NA,Negative,
BNP-044-POW15295A27,Faecal sample,Oct-22,8.5,Female,TWC II -1.6 - 2.5 years,Fair,Good,0,NAD,yes,Pilots.Slimy.sizes,3,Klebsiella oxytoca,Positive ,Evidence of slight dehydration
BNP-045-POW15295A28,Faecal sample,Oct-22,6.8,Male,TWC I -Sub Adult,Fair,Good,1,NAD,no,Loser.envy.fall,2,NA,Positive ,
BNP-046-POW15295A29,Faecal sample,Oct-22,8.7,Female,TWC V - 5-6.5 years,Fair,Good,1,NAD,yes,Model.wake.miss,2,NA,Negative,"Matted fur, scabby skin
 Blue right ear tag - 72"
BNP-047-POW15295A30,Faecal sample,Oct-22,8.12,Female,TWC II -1.6 - 2.5 years,Fair,Good,1,NAD,no,Descended.fees.tummy,2,NA,Positive ,Slightly delayed skin tent
BNP-048-POW15295A31,Faecal sample,Oct-22,6.45,Female,TWC III - 2.5 - 4 years,Emaciated,Good,1,NAD,yes,headed.horn.sharp,3,NA,Positive ,
BNP-051-POW15295A32,Faecal sample,Oct-22,9.81,Female,TWC VII - 9- 12 years,Good,Good,0,NAD,yes,Castle.Again.clean,2,NA,Negative,R ear tag: 152
BNP-052-POW15295A33,Faecal sample,Oct-22,9.05,Male,TWC III - 2.5 - 4 years,Poor,Good,0,NAD,no,Modes.store.push,3,NA,Positive ,
BNP-053-POW15295A34,Faecal sample,Oct-22,10.05,Male,TWC I -Sub Adult,Fair,Good,1,NAD,no,Friday.Gifted.Acid,2,NA,Positive ,
BNP-055-POW15295A35,Faecal sample,Oct-22,9.42,Female with Back Young,TWC IV -3.5-5.5 years,Good,Good,1,NAD,no,Park.Hammer.Loved,2,NA,Positive ,
BNP-057-POW15295A36,Faecal sample,Oct-22,11.2,Male,TWC IV -3.5-5.5 years,Fair,Good,1,NAD,no,Bikes.milk.years,3,NA,Negative,
BNP-059-POW15295A37,Faecal sample,Oct-22,7.9,Female,TWC IV -3.5-5.5 years,Fair,Good,1,NAD,yes,Data.spin.equal,3,NA,Negative,#36 ear tag
BNP-060-POW15295A38,Faecal sample,Oct-22,9.44,Female,TWC IV -3.5-5.5 years,Excellent,Good,1,NAD,no,Lance.final.fall,2,NA,Negative,
BNP-064-POW15295A39,Faecal sample,Oct-22,9.23,Female,TWC IV -3.5-5.5 years,Fair,4 - 5%,0,NAD,yes,Fool.resist.regard,2,NA,Negative,"Sterility tag 200 Dirty mouth, black material"
BNP-065-POW15295A40,Faecal sample,Oct-22,8.73,Female,TWC IV -3.5-5.5 years,Good,Good,1,NAD,no,Terms.odds.answer,1,NA,Positive ,
BNP-066-POW15295A41,Faecal sample,Oct-22,7.82,Female,TWC IV -3.5-5.5 years,Fair,4 - 5%,2,NAD,no,Refuse.Candle.Belly,1,NA,Negative,"Small amount of blood in mouth and from R nostril
 Fractured left maxillary incisor"
BNP-067-POW15295A42,Faecal sample,Oct-22,7.96,Female,TWC V - 5-6.5 years,Fair,4 - 5%,2,NAD,no,Drop.Deal.Oils,1,NA,Negative,Dreadlocks on rump/back
BNP-069-POW15295A43,Faecal sample,Oct-22,9.23,Male,TWC III - 2.5 - 4 years,Fair,4 - 5%,0,NAD,no,Terms.odds.answer,1,NA,Positive ,
BNP-070-POW15295A44,Faecal sample,Oct-22,8.36,Female,TWC V - 5-6.5 years,Good,Good,0,NAD,no,Scores.lowest.moves,2,NA,Negative,
BNP-071-POW15295A45,Faecal sample,Oct-22,8.72,Female,TWC V - 5-6.5 years,Good,4 - 5%,1,NAD,no,Often.Paths.Pulled,2,NA,Negative,
BNP-072-POW15295A46,Faecal sample,Oct-22,9.45,Female,TWC V - 5-6.5 years,Fair,4 - 5%,1,NAD,no,Boring.needed.slurs,2,NA,Negative,
BNP-073-POW15295A47,Faecal sample,Oct-22,8.7,Female,TWC IV -3.5-5.5 years,Poor,4 - 5%,1,NAD,yes,Crate.Bikes.Shots,2,NA,Negative,Sterility implant 198
BNP-075-POW15295A48,Faecal sample,Oct-22,12.15,Male,TWC V - 5-6.5 years,Good,Good,1,NAD,no,Tile.Dozed.Exist,1,NA,Positive ,
BNP-076-POW15295A49,Faecal sample,Oct-22,9.11,Female,TWC V - 5-6.5 years,Poor,4 - 5%,1,NAD,no,Turns.Lung.Among,2,NA,Negative,
BNP-078-POW15295A50,Faecal sample,Oct-22,8.76,Female with Back Young,TWC IV -3.5-5.5 years,Fair,Good,0,NAD,no,Wished.Edgy.Extend,2,NA,Negative,
BNP-081-POW15295A51,Faecal sample,Oct-22,9.2,Female,TWC IV -3.5-5.5 years,Fair,Good,1,NAD,no,Remind.That.twins,2,NA,Negative,
BNP-082-POW15295A52,Faecal sample,Oct-22,9.46,Male,TWC IV -3.5-5.5 years,Fair,Good,1,NAD,no,Slides.aside.zone,2,NA,Negative,
BNP-087-POW15295A53,Faecal sample,Oct-22,8.36,Female,TWC V - 5-6.5 years,Emaciated,4 - 5%,1,NAD,no,Pine.Income.Pills,3,NA,Negative,scab L ear
BNP-088-POW15295A54,Faecal sample,Oct-22,7.68,Female,TWC I -Sub Adult,Fair,Good,1,NAD,yes,Fades.burn.clock,3,NA,Negative,Apprasion R nose
BNP-089-POW15295A55,Faecal sample,Oct-22,10.1,Female,TWC IV -3.5-5.5 years,Good,Good,1,NAD,no,Spark.mini.healthier,2,NA,Negative,
BNP-090-POW15295A56,Faecal sample,Oct-22,1.49,Male,Dependent,Fair,Good,0,NAD,no,Liked.hobby.short,3,NA,Negative,
BNP-091-POW15295A57,Faecal sample,Oct-22,8.61,Female with Back Young,TWC II -1.6 - 2.5 years,Fair,Good,1,NAD,no,Liked.hobby.short,3,NA,Positive ,"Mother of 090, L mammary gland active"
BNP-092-POW15295A58,Faecal sample,Oct-22,8.87,Male,TWC IV -3.5-5.5 years,Poor,Good,1,NAD,no,Poetic.Units.shiny,3,NA,Negative,"Tag #092 koala hotline tag
 7226 0017"
BNP-095-POW15295A59,Faecal sample,Oct-22,8.09,Female,TWC V - 5-6.5 years,Fair,Good,0,NAD,no,Prompting.fields.spirit,3,NA,Positive ,
BNP-096-POW15295A60,Faecal sample,Oct-22,9,Female,TWC IV -3.5-5.5 years,Poor,Good,1,NAD,yes,Prompting.fields.spirit,3,Klebsiella pneumoniae,Negative,
BNP-097-POW15295A61,Faecal sample,Oct-22,8.47,Female,TWC V - 5-6.5 years,Good,Good,2,NAD,no,Rift.expect.pints,2,NA,Positive ,
BNP-099-POW15295A62,Faecal sample,Oct-22,12.58,Male,TWC III - 2.5 - 4 years,Poor,Good,1,NAD,no,Code.Rabble.Vows,2,NA,Positive ,
