OTU,BNP-034-POW15295A20,BNP-066-POW15295A41,BNP-022-POW15295A14,BNP-052-POW15295A33,BNP-095-POW15295A59,BNP-053-POW15295A34,BNP-048-POW15295A31,BNP-057-POW15295A36,BNP-060-POW15295A38,BNP-040-POW15295A23,BNP-088-POW15295A54,BNP-026-POW15295A17,BNP-016-POW15295A10,BNP-076-POW15295A49,BNP-055-POW15295A35,BNP-075-POW15295A48,BNP-025-POW15295A16,BNP-021-POW15295A13,BNP-096-POW15295A60,BNP-044-POW15295A27,BNP-090-POW15295A56,BNP-073-POW15295A47,BNP-071-POW15295A45,BNP-051-POW15295A32,BNP-065-POW15295A40,BNP-028-POW15295A19,BNP-059-POW15295A37,BNP-046-POW15295A29,BNP-035-POW15295A21,BNP-078-POW15295A50,BNP-019-POW15295A12,BNP-023-POW15295A15,BNP-092-POW15295A58,BNP-010-POW15295A6,BNP-014-POW15295A9,BNP-081-POW15295A51,BNP-042-POW15295A25,BNP-089-POW15295A55,BNP-036-POW15295A22,BNP-017-POW15295A11,BNP-082-POW15295A52,BNP-027-POW15295A18,BNP-007-POW15295A4,BNP-069-POW15295A43,BNP-013-POW15295A8,BNP-064-POW15295A39,BNP-087-POW15295A53,BNP-009-POW15295A5,BNP-067-POW15295A42,BNP-047-POW15295A30,BNP-099-POW15295A62,BNP-011-POW15295A7,BNP-004-POW15295A3,BNP-041-POW15295A24,BNP-043-POW15295A26,BNP-097-POW15295A61,BNP-091-POW15295A57,BNP-002-POW15295A2,BNP-001-POW15295A1,BNP-072-POW15295A46,BNP-070-POW15295A44,BNP-045-POW15295A28
831b1cddfd991f172bfffdcbbc33f1ba,18058.0,6115.0,9775.0,0.0,9766.0,8163.0,0.0,0.0,13487.0,0.0,3975.0,9898.0,0.0,8012.0,0.0,2.0,0.0,70.0,7820.0,6761.0,18598.0,9828.0,0.0,9510.0,11867.0,8632.0,12381.0,12017.0,7203.0,4.0,12410.0,0.0,8936.0,0.0,0.0,0.0,9918.0,3.0,10085.0,7310.0,11460.0,20227.0,0.0,0.0,0.0,14717.0,2.0,39.0,22.0,0.0,13383.0,0.0,0.0,6266.0,8021.0,10278.0,6221.0,9938.0,26.0,5863.0,4465.0,934.0
d129fa6aafc890ddb9549c5afa1d34d7,6856.0,4545.0,4825.0,1739.0,4855.0,1317.0,2871.0,2043.0,7703.0,2585.0,1703.0,1480.0,452.0,4485.0,4216.0,5438.0,5020.0,574.0,4933.0,3713.0,1487.0,5026.0,4903.0,3072.0,1841.0,3569.0,6119.0,2128.0,5426.0,904.0,3508.0,4370.0,2340.0,793.0,527.0,2284.0,4884.0,2245.0,6324.0,207.0,4482.0,1817.0,1207.0,1724.0,1090.0,4011.0,6451.0,7452.0,3219.0,2930.0,253.0,683.0,1210.0,3818.0,1632.0,3391.0,4952.0,1676.0,2646.0,2362.0,3208.0,1477.0
09d580eac7675130afbe5a7d5d86dfc8,2250.0,3336.0,476.0,1176.0,303.0,427.0,308.0,254.0,582.0,2388.0,131.0,574.0,161.0,462.0,752.0,0.0,297.0,459.0,683.0,300.0,2361.0,1303.0,406.0,2709.0,146.0,1783.0,317.0,362.0,479.0,451.0,3250.0,3374.0,278.0,23.0,12.0,85.0,1713.0,1499.0,1721.0,1236.0,3155.0,746.0,171.0,0.0,75.0,3350.0,0.0,0.0,905.0,3487.0,2250.0,6.0,40.0,2200.0,3810.0,3086.0,4354.0,3263.0,582.0,939.0,2267.0,2488.0
0f47ec26c677aa9e2b927bb8714d701e,2244.0,1168.0,1818.0,677.0,1503.0,421.0,900.0,668.0,2479.0,1091.0,545.0,549.0,135.0,1713.0,1111.0,2254.0,1254.0,192.0,1393.0,1660.0,458.0,2046.0,1598.0,991.0,549.0,1215.0,1711.0,783.0,1538.0,231.0,1607.0,1365.0,564.0,270.0,178.0,661.0,1875.0,798.0,1853.0,62.0,1496.0,470.0,446.0,614.0,328.0,1715.0,2864.0,2898.0,909.0,971.0,63.0,212.0,621.0,1337.0,429.0,936.0,1497.0,425.0,803.0,817.0,808.0,454.0
ab7184957d4e5758d5d8341f1295f2cf,1844.0,797.0,713.0,582.0,464.0,280.0,178.0,0.0,487.0,528.0,207.0,59.0,124.0,412.0,476.0,0.0,0.0,3.0,476.0,550.0,403.0,1494.0,0.0,1264.0,99.0,237.0,437.0,74.0,1036.0,0.0,403.0,121.0,539.0,0.0,0.0,357.0,967.0,760.0,832.0,133.0,757.0,151.0,0.0,0.0,193.0,947.0,0.0,0.0,724.0,1809.0,509.0,0.0,7.0,1194.0,872.0,933.0,339.0,43.0,257.0,370.0,942.0,253.0
ba3715c31f3e91ee08b52bf6091b088a,961.0,2859.0,788.0,840.0,357.0,110.0,364.0,0.0,1880.0,62.0,78.0,208.0,876.0,964.0,1017.0,0.0,598.0,22.0,21.0,375.0,513.0,767.0,0.0,730.0,1002.0,170.0,791.0,165.0,1863.0,519.0,1224.0,67.0,1166.0,49.0,241.0,475.0,2060.0,1379.0,1084.0,64.0,1439.0,223.0,81.0,0.0,575.0,1071.0,0.0,0.0,562.0,2333.0,811.0,323.0,321.0,1669.0,984.0,1232.0,1984.0,95.0,399.0,498.0,1433.0,883.0
954db20b2eead6a0e6936d72f81326f8,931.0,3886.0,227.0,0.0,318.0,823.0,114.0,247.0,1367.0,830.0,49.0,276.0,0.0,453.0,952.0,905.0,0.0,224.0,317.0,109.0,1954.0,899.0,5.0,2911.0,0.0,1098.0,262.0,329.0,540.0,839.0,4810.0,615.0,90.0,0.0,0.0,0.0,1261.0,1749.0,1800.0,4.0,3143.0,748.0,2.0,0.0,0.0,820.0,677.0,0.0,686.0,4323.0,609.0,0.0,0.0,2489.0,332.0,4150.0,2649.0,484.0,340.0,1101.0,2993.0,2960.0
2477f60ea27cb685e328e91cab767e09,897.0,173.0,463.0,184.0,343.0,246.0,840.0,590.0,612.0,435.0,139.0,299.0,124.0,184.0,285.0,185.0,1914.0,289.0,311.0,186.0,118.0,175.0,263.0,277.0,268.0,143.0,286.0,180.0,347.0,76.0,676.0,432.0,146.0,20.0,107.0,119.0,266.0,104.0,245.0,16.0,168.0,415.0,366.0,203.0,97.0,236.0,291.0,220.0,202.0,281.0,436.0,248.0,135.0,187.0,121.0,241.0,300.0,441.0,368.0,160.0,121.0,25.0
abc890345277a19db6a61ef8c8017da6,865.0,236.0,630.0,0.0,438.0,506.0,0.0,0.0,793.0,0.0,273.0,502.0,0.0,430.0,0.0,0.0,0.0,0.0,385.0,410.0,832.0,547.0,0.0,439.0,678.0,425.0,652.0,718.0,349.0,0.0,798.0,0.0,312.0,0.0,0.0,0.0,502.0,0.0,533.0,460.0,617.0,855.0,0.0,0.0,0.0,915.0,0.0,0.0,0.0,0.0,724.0,0.0,0.0,340.0,369.0,474.0,287.0,585.0,0.0,330.0,242.0,69.0
42ce11714e297646432e31ce965c6086,842.0,182.0,472.0,721.0,408.0,271.0,135.0,9.0,188.0,1369.0,113.0,3.0,550.0,68.0,938.0,523.0,270.0,17.0,1050.0,468.0,1210.0,449.0,0.0,2214.0,158.0,336.0,197.0,284.0,264.0,1231.0,450.0,394.0,417.0,56.0,149.0,677.0,709.0,347.0,625.0,172.0,1390.0,351.0,1792.0,100.0,656.0,232.0,161.0,1219.0,1123.0,499.0,229.0,98.0,61.0,762.0,1843.0,1418.0,106.0,12.0,13.0,361.0,758.0,331.0
